"energy_relative_to_EF_eV","O258_p_total_down","O258_p_total_up","O259_p_total_down","O259_p_total_up","O294_p_total_down","O294_p_total_up"
"-6.66667000","0.25167000","0.07887000","0.85856000","0.51274000","0.70370000","0.10628000"
"-6.61654000","0.17003000","0.09582000","0.94184000","0.43841000","0.48933000","0.13524000"
"-6.56642000","0.21030000","0.06888000","0.56335000","0.36222000","0.34187000","0.08427000"
"-6.51629000","0.33575000","0.03710000","0.44744000","0.29854000","0.25458000","0.02474000"
"-6.46617000","0.54777000","0.03007000","0.36008000","0.20315000","0.21884000","0.01169000"
"-6.41604000","0.65760000","0.07281000","0.40792000","0.11904000","0.29161000","0.01300000"
"-6.36591000","0.38205000","0.51668000","0.42723000","0.25649000","0.46684000","0.06778000"
"-6.31579000","0.20496000","0.98025000","0.41737000","0.43217000","0.50799000","0.12459000"
"-6.26566000","0.16653000","0.42392000","0.43324000","0.24871000","0.62088000","0.05120000"
"-6.21554000","0.24134000","0.22247000","0.65235000","0.11984000","0.66548000","0.01988000"
"-6.16541000","0.42507000","0.83831000","0.62061000","0.10674000","0.37625000","0.04011000"
"-6.11529000","1.19175000","1.80719000","0.40385000","0.11182000","0.18739000","0.06378000"
"-6.06516000","2.51649000","1.22179000","0.32876000","0.12928000","0.08299000","0.08736000"
"-6.01504000","1.61327000","0.33725000","0.36690000","0.10340000","0.05093000","0.07203000"
"-5.96491000","0.59581000","0.09048000","0.29920000","0.02931000","0.05598000","0.03959000"
"-5.91479000","0.57457000","0.30628000","0.20083000","0.02120000","0.09255000","0.17402000"
"-5.86466000","0.58223000","0.71711000","0.31548000","0.04009000","0.15160000","0.37712000"
"-5.81454000","0.38830000","0.82030000","0.40198000","0.03259000","0.23924000","0.34000000"
"-5.76441000","0.19880000","0.38167000","0.30369000","0.02063000","0.27961000","0.12107000"
"-5.71429000","0.09839000","0.06804000","0.17928000","0.02865000","0.16004000","0.01558000"
"-5.66416000","0.06497000","0.04507000","0.11873000","0.07168000","0.04863000","0.00661000"
"-5.61404000","0.13106000","0.04541000","0.09663000","0.14349000","0.01852000","0.01307000"
"-5.56391000","0.35994000","0.07155000","0.19963000","0.43523000","0.02324000","0.03915000"
"-5.51378000","0.41277000","0.09765000","0.38408000","0.63003000","0.02876000","0.06738000"
"-5.46366000","0.17795000","0.13050000","0.32407000","0.80594000","0.01829000","0.10261000"
"-5.41353000","0.02412000","0.18705000","0.08522000","0.88611000","0.01431000","0.13744000"
"-5.36341000","0.01398000","0.24124000","0.00875000","0.55611000","0.27477000","0.19219000"
"-5.31328000","0.06034000","0.37206000","0.01404000","0.29203000","1.25508000","0.34168000"
"-5.26316000","0.05039000","0.55548000","0.01288000","0.28145000","1.04631000","0.39720000"
"-5.21303000","0.00792000","0.66899000","0.00591000","0.28497000","0.16024000","0.26037000"
"-5.16291000","0.00688000","0.53383000","0.00399000","0.25775000","0.05181000","0.15119000"
"-5.11278000","0.06151000","0.46090000","0.00579000","0.24921000","0.43567000","0.14357000"
"-5.06266000","0.10569000","0.47996000","0.00929000","0.26782000","0.74576000","0.23393000"
"-5.01253000","0.03463000","0.39406000","0.00395000","0.20991000","0.23804000","0.32575000"
"-4.96241000","0.00246000","0.28836000","0.00081000","0.16961000","0.01361000","0.38280000"
"-4.91228000","0.00007000","0.29074000","0.00007000","0.16748000","0.00013000","0.47543000"
"-4.86216000","0.00000000","0.35320000","0.00000000","0.17668000","0.00000000","0.43208000"
"-4.81203000","0.00000000","0.35454000","0.00000000","0.14837000","0.00000000","0.29018000"
"-4.76190000","0.00000000","0.25177000","0.00000000","0.08773000","0.00000000","0.18660000"
"-4.71178000","0.00001000","0.19676000","0.00000000","0.06240000","0.00000000","0.18921000"
"-4.66165000","0.00193000","0.27979000","0.00064000","0.10609000","0.00029000","0.25064000"
"-4.61153000","0.05093000","0.40587000","0.01686000","0.18718000","0.00755000","0.31447000"
"-4.56140000","0.26914000","0.46802000","0.08921000","0.21884000","0.03812000","0.38159000"
"-4.51128000","0.41356000","0.39905000","0.13304000","0.22108000","0.05869000","0.42327000"
"-4.46115000","0.43172000","0.23683000","0.11918000","0.17331000","0.08759000","0.26678000"
"-4.41103000","0.38069000","0.13576000","0.11278000","0.12324000","0.11693000","0.17900000"
"-4.36090000","0.35737000","0.17455000","0.15923000","0.15211000","0.11219000","0.18132000"
"-4.31078000","0.87441000","0.21812000","0.40859000","0.16887000","0.08559000","0.21673000"
"-4.26065000","1.07996000","0.16570000","0.48028000","0.13842000","0.04985000","0.29590000"
"-4.21053000","0.61266000","0.15478000","0.29474000","0.13212000","0.02656000","0.29422000"
