x_A,y_A,charge_total_Al16,charge_total_undoped,magnetization_Al16,magnetization_undoped,spin_down_Al16,spin_down_undoped,spin_up_Al16,spin_up_undoped
-3.17089,-1.66086,-0.0038724646,-0.0060192342,0.0064301351,0.0059930817,-0.0051512998,-0.006006158,0.0012788352,-1.3076235e-05
-3.10479,-1.66086,-0.0039511211,-0.0062974896,0.0073431404,0.0069351383,-0.0056471308,-0.0066163139,0.0016960097,0.00031882431
-3.03870,-1.66086,-0.00410095,-0.006647924,0.0085302228,0.0081675434,-0.0063155862,-0.0074077337,0.0022146364,0.00075980974
-2.97260,-1.66086,-0.0041666245,-0.006911926,0.0097279316,0.0094112437,-0.006947278,-0.0081615848,0.0027806535,0.0012496589
-2.90650,-1.66086,-0.0040321085,-0.0069358312,0.01063694,0.010371448,-0.0073345238,-0.0086536398,0.0033024156,0.0017178087
-2.84041,-1.66086,-0.00376337,-0.0067906128,0.011361866,0.011147922,-0.0075626182,-0.0089692678,0.003799248,0.0021786545
-2.77431,-1.66086,-0.0034047889,-0.0065182052,0.011976498,0.011791955,-0.0076906434,-0.0091550797,0.0042858548,0.0026368748
-2.70821,-1.66086,-0.0029290321,-0.0059762713,0.012086718,0.011859016,-0.0075078751,-0.0089176437,0.0045788432,0.0029413726
-2.64211,-1.66086,-0.0023251139,-0.005241944,0.011915154,0.011628052,-0.0071201338,-0.0084349979,0.00479502,0.0031930541
-2.57602,-1.66086,-0.0016551599,-0.0043932218,0.011617969,0.011242324,-0.0066365642,-0.0078177731,0.0049814046,0.0034245509
-2.50992,-1.66086,-0.0009813502,-0.0034105827,0.010949321,0.010426302,-0.0059653358,-0.0069184424,0.0049839853,0.00350786
-2.44382,-1.66086,-0.00030123725,-0.0023566363,0.010194328,0.0095093176,-0.0052477825,-0.005932977,0.0049465452,0.0035763406
-2.37773,-1.66086,0.00042956349,-0.0012206257,0.0092795528,0.008407197,-0.0044249948,-0.0048139114,0.004854558,0.0035932856
-2.31163,-1.66086,0.0011929817,-3.7575021e-05,0.0081424089,0.0070921713,-0.0034747135,-0.0035648732,0.0046676951,0.0035272981
-2.24553,-1.66086,0.0018170079,0.001063227,0.0069187521,0.005677464,-0.002550872,-0.0023071184,0.0043678801,0.0033703456
-2.17943,-1.66086,0.0024376898,0.0021736573,0.0056607896,0.004229222,-0.0016115499,-0.0010277823,0.0040492397,0.0032014395
-2.11334,-1.66086,0.0031087492,0.0032880281,0.0043876912,0.0028258688,-0.00063947099,0.00023107964,0.0037482202,0.0030569485
-2.04724,-1.66086,0.0035147036,0.0041648308,0.0032853021,0.0016351015,0.00011470076,0.0012648646,0.0034000028,0.0028999662
-1.98114,-1.66086,0.0038711962,0.0049928757,0.0022463892,0.00053635327,0.00081240351,0.0022282612,0.0030587926,0.0027646145
-1.91505,-1.66086,0.0042368136,0.005761357,0.0013234173,-0.00036857059,0.0014566982,0.0030649637,0.0027801155,0.0026963933
-1.84895,-1.66086,0.0044382368,0.0062924456,0.00059113331,-0.00096164463,0.0019235518,0.0036270451,0.002514685,0.0026654005
-1.78285,-1.66086,0.0044848006,0.006617527,3.1356292e-05,-0.0012735144,0.0022267222,0.0039455206,0.0022580784,0.0026720064
-1.71675,-1.66086,0.004528719,0.0068604737,-0.0003621465,-0.0013393251,0.0024454328,0.0040998994,0.0020832862,0.0027605742
-1.65066,-1.66086,0.0045259898,0.0069789016,-0.00058993552,-0.0011446509,0.0025579627,0.0040617762,0.0019680271,0.0029171254
-1.58456,-1.66086,0.0042851176,0.0066635171,-0.00055809529,-0.00041338909,0.0024216063,0.003538453,0.0018635112,0.0031250641
-1.51846,-1.66086,0.0040171607,0.0063032736,-0.00039289441,0.00044788086,0.0022050275,0.0029276963,0.0018121331,0.0033755773
-1.45237,-1.66086,0.0037304203,0.0059427745,-0.00013405429,0.0013753992,0.0019322373,0.0022836877,0.001798183,0.0036590868
-1.38627,-1.66086,0.0032362838,0.0051501174,0.00036414346,0.0028473914,0.0014360702,0.001151363,0.0018002136,0.0039987545
-1.32017,-1.66086,0.0026599469,0.0043585217,0.00088906055,0.0042356593,0.00088544318,6.1431201e-05,0.0017745037,0.0042970907
-1.25408,-1.66086,0.002140841,0.0038712434,0.0013103815,0.00524492,0.00041522976,-0.00068683829,0.0017256113,0.0045580817
-1.18798,-1.66086,0.0016276373,0.0035273004,0.0016972719,0.0061488585,-3.481732e-05,-0.001310779,0.0016624546,0.0048380792
-1.12188,-1.66086,0.0011014956,0.0032640616,0.0019448913,0.0068726931,-0.00042169786,-0.0018043157,0.0015231934,0.0050683776
-1.05578,-1.66086,0.00075856759,0.0033503755,0.0019627728,0.0070705069,-0.00060210261,-0.0018600657,0.0013606702,0.0052104411
-0.98969,-1.66086,0.00060114398,0.0037843259,0.001784784,0.0067271492,-0.00059181999,-0.0014714117,0.001192964,0.0052557373
-0.92359,-1.66086,0.00049746549,0.0042052735,0.0014199852,0.0063005756,-0.00046125986,-0.0010476511,0.00095872534,0.0052529247
-0.85749,-1.66086,0.00053095515,0.0045266314,0.0010080473,0.0058264085,-0.00023854605,-0.00064988853,0.0007695012,0.00517652
-0.79140,-1.66086,0.00071023044,0.0047941855,0.00052565744,0.0050295601,9.22865e-05,-0.00011768728,0.00061794394,0.0049118726
-0.72530,-1.66086,0.0008478472,0.0046148892,0.00011883921,0.0044562323,0.000364504,7.9328427e-05,0.0004833432,0.0045355605
-0.65920,-1.66086,0.00092902058,0.0040822458,-0.00017235384,0.0040272647,0.0005506872,2.7490547e-05,0.00037833338,0.004054755
-0.59310,-1.66086,0.0010032915,0.0033905208,-0.00036739366,0.0034980713,0.00068534259,-5.3775264e-05,0.0003179489,0.0034442961
-0.52701,-1.66086,0.00098788692,0.0027209404,-0.00042601171,0.0032250669,0.00070694933,-0.00025206327,0.00028093759,0.0029730038
-0.46091,-1.66086,0.00090626249,0.0018777307,-0.00038568091,0.0031596117,0.00064597168,-0.0006409405,0.00026029081,0.0025186711
-0.39481,-1.66086,0.00079119403,0.0011251476,-0.00028909236,0.0029088759,0.00054014323,-0.00089186418,0.00025105083,0.0020170119
-0.32872,-1.66086,0.00065381406,0.00061884383,-0.00018993978,0.0027102756,0.0004218769,-0.0010457159,0.00023193714,0.0016645597
-0.26262,-1.66086,0.0004893018,0.0001384691,-7.2555558e-05,0.0025668347,0.00028092868,-0.0012141828,0.00020837312,0.0013526519
-0.19652,-1.66086,0.00032210723,-0.00024769001,4.0718358e-05,0.0022971823,0.00014069444,-0.0012724362,0.00018141279,0.0010247461
-0.13042,-1.66086,0.00018182457,-0.00050233351,0.00011611898,0.0020757935,3.2852793e-05,-0.0012890635,0.00014897177,0.00078672997
-0.06433,-1.66086,6.3443011e-05,-0.00067368412,0.0001722179,0.0018678119,-5.4387445e-05,-0.001270748,0.00011783045,0.00059706392
0.00177,-1.66086,-3.5417328e-05,-0.00077808922,0.00021482697,0.0016071171,-0.00012512215,-0.0011926031,8.9704823e-05,0.00041451395
0.06787,-1.66086,-0.00010295244,-0.00081168208,0.00023989499,0.0014033065,-0.00017142372,-0.0011074943,6.8471272e-05,0.00029581221
0.13396,-1.66086,-0.0001454248,-0.0007966712,0.00024928272,0.0012163888,-0.00019735376,-0.00100653,5.1928961e-05,0.00020985879
0.20006,-1.66086,-0.00013340938,-0.00072172144,0.00021052266,0.00098870322,-0.00017196602,-0.00085521233,3.8556638e-05,0.00013349089
0.26616,-1.66086,-9.566333e-05,-0.00064098695,0.00014844073,0.00081072701,-0.00012205203,-0.00072585698,2.6388698e-05,8.4870029e-05
0.33226,-1.66086,-3.8975788e-05,-0.00055168767,6.9468595e-05,0.0006510992,-5.422219e-05,-0.0006013934,1.5246404e-05,4.9705763e-05
0.39835,-1.66086,8.2257684e-05,-0.00042872506,-6.9656206e-05,0.00047049377,7.5956945e-05,-0.00044960942,6.3007392e-06,2.0884356e-05
0.46445,-1.66086,0.00022270888,-0.00032582373,-0.00022645538,0.00032433978,0.00022458212,-0.00032508175,-1.8732462e-06,-7.4197305e-07
0.53055,-1.66086,0.00035042249,-0.00023147835,-0.00037141342,0.00019561857,0.00036091794,-0.00021354845,-1.0495467e-05,-1.7929888e-05
0.59664,-1.66086,0.00049261865,-0.00012806272,-0.00053161988,6.3994179e-05,0.00051211927,-9.6028452e-05,-1.9500614e-05,-3.203427e-05
0.66274,-1.66086,0.00069126516,-1.2691498e-05,-0.00075461698,-6.7596309e-05,0.00072294107,2.7452406e-05,-3.1675911e-05,-4.0143903e-05
0.72884,-1.66086,0.00083665439,8.327511e-05,-0.00093059562,-0.00017805115,0.00088362501,0.00013066313,-4.6970614e-05,-4.7388021e-05
0.79493,-1.66086,0.00093713863,0.0001649888,-0.0010662781,-0.00027555996,0.0010017083,0.00022027438,-6.4569729e-05,-5.5285578e-05
0.86103,-1.66086,0.0010601035,0.00024679402,-0.0012350102,-0.00037156531,0.0011475568,0.00030917965,-8.7453343e-05,-6.2385647e-05
0.92713,-1.66086,0.0011126064,0.00030391224,-0.0013417738,-0.00044846677,0.00122719,0.00037618951,-0.0001145837,-7.2277267e-05
0.99323,-1.66086,0.0010847254,0.00033434742,-0.0013738819,-0.00050591648,0.0012293037,0.00042013195,-0.00014457828,-8.578453e-05
1.05932,-1.66086,0.0010226748,0.0003456517,-0.0013855516,-0.0005476154,0.0012041132,0.00044663355,-0.0001814384,-0.00010098185
