"system","state","pair_role","atom1_index","atom2_index","distance_A","energy_eV_rel_EF","spin","pCOHP_raw","minus_pCOHP","source_file"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.55890","up","0.20692","-0.20692","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.55890","down","0.09897","-0.09897","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.60902","up","0.04307","-0.04307","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.60902","down","0.13631","-0.13631","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.60902","up","0.15529","-0.15529","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.60902","down","0.07653","-0.07653","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.60902","up","0.17826","-0.17826","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.60902","down","0.13326","-0.13326","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.65915","up","0.03142","-0.03142","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.65915","down","0.09221","-0.09221","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.65915","up","0.12975","-0.12975","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.65915","down","0.04646","-0.04646","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.65915","up","0.09394","-0.09394","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.65915","down","0.10539","-0.10539","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.70927","up","0.01081","-0.01081","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.70927","down","0.03774","-0.03774","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.70927","up","0.0931","-0.0931","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.70927","down","0.02511","-0.02511","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.70927","up","0.03575","-0.03575","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.70927","down","0.06595","-0.06595","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.75940","up","0.00608","-0.00608","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.75940","down","0.02171","-0.02171","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.75940","up","0.06747","-0.06747","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.75940","down","0.02714","-0.02714","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.75940","up","0.06022","-0.06022","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
