system	state	spin	E_EF_eV	minusCOHP	minusICOHP
pristine_OH	*OH	up	0.65163000	-0.00000000	3.70475000
pristine_OH	*OH	up	0.70175000	-0.00000000	3.70475000
pristine_OH	*OH	up	0.75188000	-0.00000000	3.70475000
pristine_OH	*OH	up	0.80201000	-0.00000000	3.70475000
pristine_OH	*OH	up	0.85213000	-0.00000000	3.70475000
pristine_OH	*OH	up	0.90226000	-0.00000000	3.70475000
pristine_OH	*OH	up	0.95238000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.00251000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.05263000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.10276000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.15288000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.20301000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.25313000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.30326000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.35338000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.40351000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.45363000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.50376000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.55388000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.60401000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.65414000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.70426000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.75439000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.80451000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.85464000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.90476000	-0.00000000	3.70475000
pristine_OH	*OH	up	1.95489000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.00501000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.05514000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.10526000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.15539000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.20551000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.25564000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.30576000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.35589000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.40602000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.45614000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.50627000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.55639000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.60652000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.65664000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.70677000	-0.00000000	3.70475000
pristine_OH	*OH	up	2.75689000	-0.00003000	3.70475000
pristine_OH	*OH	up	2.80702000	-0.00201000	3.70465000
pristine_OH	*OH	up	2.85714000	-0.02605000	3.70334000
pristine_OH	*OH	up	2.90727000	-0.06999000	3.69984000
pristine_OH	*OH	up	2.95739000	-0.09521000	3.69506000
pristine_OH	*OH	up	3.00752000	-0.10983000	3.68956000
pristine_OH	*OH	up	3.05764000	-0.05509000	3.68680000
pristine_OH	*OH	up	3.10777000	-0.00866000	3.68636000
pristine_OH	*OH	up	3.15789000	-0.03942000	3.68439000
pristine_OH	*OH	up	3.20802000	-0.18934000	3.67490000
pristine_OH	*OH	up	3.25815000	-0.19687000	3.66503000
pristine_OH	*OH	up	3.30827000	-0.11937000	3.65904000
pristine_OH	*OH	up	3.35840000	-0.23077000	3.64748000
pristine_OH	*OH	up	3.40852000	-0.34227000	3.63032000
pristine_OH	*OH	up	3.45865000	-0.23958000	3.61831000
pristine_OH	*OH	up	3.50877000	-0.11346000	3.61262000
pristine_OH	*OH	up	3.55890000	-0.31117000	3.59703000
pristine_OH	*OH	up	3.60902000	-0.56015000	3.56895000
pristine_OH	*OH	up	3.65915000	-0.46912000	3.54543000
pristine_OH	*OH	up	3.70927000	-0.29711000	3.53054000
pristine_OH	*OH	up	3.75940000	-0.36649000	3.51217000
pristine_OH	*OH	up	3.80952000	-0.34125000	3.49506000
pristine_OH	*OH	up	3.85965000	-0.15555000	3.48727000
pristine_OH	*OH	up	3.90977000	-0.33563000	3.47044000
pristine_OH	*OH	up	3.95990000	-0.51243000	3.44476000
pristine_OH	*OH	up	4.01003000	-0.67251000	3.41105000
pristine_OH	*OH	up	4.06015000	-0.89750000	3.36606000
pristine_OH	*OH	up	4.11028000	-0.54897000	3.33854000
pristine_OH	*OH	up	4.16040000	-0.73220000	3.30184000
pristine_OH	*OH	up	4.21053000	-0.71683000	3.26591000
pristine_OH	*OH	up	4.26065000	-0.52409000	3.23964000
pristine_OH	*OH	up	4.31078000	-0.70129000	3.20449000
pristine_OH	*OH	up	4.36090000	-0.55824000	3.17651000
pristine_OH	*OH	up	4.41103000	-0.54270000	3.14930000
pristine_OH	*OH	up	4.46115000	-0.43745000	3.12738000
pristine_OH	*OH	up	4.51128000	-0.26191000	3.11425000
pristine_OH	*OH	up	4.56140000	-0.49531000	3.08942000
pristine_OH	*OH	up	4.61153000	-0.71675000	3.05349000
pristine_OH	*OH	up	4.66165000	-0.67820000	3.01950000
pristine_OH	*OH	up	4.71178000	-0.59001000	2.98992000
pristine_OH	*OH	up	4.76190000	-0.51799000	2.96396000
pristine_OH	*OH	up	4.81203000	-0.50494000	2.93865000
pristine_OH	*OH	up	4.86216000	-0.84251000	2.89642000
pristine_OH	*OH	up	4.91228000	-0.69710000	2.86148000
pristine_OH	*OH	up	4.96241000	-0.39895000	2.84148000
pristine_OH	*OH	up	5.01253000	-0.45645000	2.81860000
pristine_OH	*OH	down	-15.03759000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.98747000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.93734000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.88722000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.83709000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.78697000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.73684000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.68672000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.63659000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.58647000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.53634000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.48622000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.43609000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.38596000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.33584000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.28571000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.23559000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.18546000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.13534000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.08521000	-0.00000000	3.05837000
pristine_OH	*OH	down	-14.03509000	-0.00000000	3.05837000
pristine_OH	*OH	down	-13.98496000	-0.00000000	3.05837000
pristine_OH	*OH	down	-13.93484000	-0.00000000	3.05837000
pristine_OH	*OH	down	-13.88471000	-0.00000000	3.05837000
