"energy_eV_rel_EF","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-0.65163","15.93945","53.98932","0.6688600000000002","0.3703100000000002","51.52482","21.867689999999996"
"-0.6015","15.528440000000002","42.39665999999999","0.5839899999999998","0.2077000000000001","47.21109000000001","16.45623"
"-0.55138","14.77098","37.359519999999996","0.4818299999999999","0.13846999999999995","45.137530000000005","14.43385999999999"
"-0.50125","13.90589","12.259290000000002","0.42153999999999986","0.044339999999999984","42.27837","5.366229999999998"
"-0.45113","13.95085","1.4286299999999998","0.4281000000000001","0.06558000000000003","41.12104000000001","10.38544"
"-0.401","15.483619999999998","1.3817000000000002","0.48042000000000024","0.18236000000000008","45.903119999999994","29.205039999999993"
"-0.35088","17.41781","0.7295499999999999","0.5575299999999997","0.09680000000000002","52.95696999999999","15.543529999999997"
"-0.30075","18.7777","0.06857999999999999","0.59486","0.00895","58.36118","1.4605300000000003"
"-0.25063","18.38597","0.0010000000000000002","0.5461600000000001","8e-05","60.015750000000004","0.022170000000000002"
"-0.2005","18.85922","0.0","0.44142","0.0","61.34919","3.0000000000000004e-05"
"-0.15038","25.536189999999998","5e-05","0.39390999999999987","4e-05","79.25329","0.00426"
"-0.10025","28.747400000000003","0.010440000000000001","0.34746","0.00463","88.49931000000005","0.43756000000000006"
"-0.05013","21.380869999999998","0.17078","0.4287199999999997","0.07637","74.09708","7.10259"
"0.0","16.40274","0.47928000000000004","0.8139299999999997","0.21426999999999993","66.62623999999998","19.922340000000002"
